data type,image_names,label,Xmax,Ymax,Xmin,Ymin
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.35801104,0.29181495,0.027624309,0.19928825
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7314917,0.7953737,0.59337014,0.7117438
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.78895026,0.9163701,0.59447515,0.8131673
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7911602,0.41814947,0.5889503,0.3594306
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.58232045,0.8024911,0.46629834,0.7099644
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.35801104,0.4733096,0.016574586,0.40925267
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7657459,0.18327402,0.58563536,0.090747334
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3436464,0.7544484,0.007734807,0.6619217
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5955801,0.6530249,0.46298343,0.5711744
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.35027623,0.33985764,0.009944751,0.24911033
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.59779006,0.47686833,0.47071823,0.38434163
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.75469613,0.24733096,0.57348067,0.20106761
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.35911602,0.6672598,0.020994475,0.5569395
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7569061,0.6530249,0.5966851,0.5498221
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5922652,0.57651246,0.46187845,0.50711745
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.6022099,0.35765123,0.47955802,0.29003558
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3513812,0.7740213,0.017679557,0.69572955
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.58563536,0.8807829,0.47071823,0.77935946
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3403315,0.5658363,0.006629834,0.47508895
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.76243097,0.56227756,0.59337014,0.48042706
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.320442,0.8594306,0.012154697,0.772242
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5966851,0.73131675,0.46961325,0.62989324
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.33370167,0.4039146,0.005524862,0.32740214
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.59447515,0.51067615,0.47513813,0.4395018
